STATION CODE,LOCATIONS,STATE,D.O. (mg/l),PH,B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),WQI
43,MUVATTAPUZHA AT VETTIKKATTUMUKKU,KERALA,6.7,7.1,1.2,0.39,964.0,72.1066495652174
1718,"GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629, RAJASTHAN",RAJASTHAN,4.8,7.9,3.2,0.68,6.0,91.46050840579711
1148,AMBIKA AT BILIMORA,GUJARAT,6.0,7.7,3.6,3.12,900.0,110.31309826086958
1455,"RUSHIKULYA AT GANJAM U/S, ORISSA",ORISSA,7.5,7.8,1.78,0.51,7448.0,232.3988239130435
1572,"CHANDRIGIRI PADIYATHADKA, KERALA",KERALA,7.6,6.7,1.1,0.11,613.0,51.98791362318841
3384,"BUGI RIVER AT DALU, SOUTH GARO HILLS",MEGHALAYA,7.2,7.4,2.2,1.0,25.0,62.715428115942046
2460,DAMANGANGA AT DISCHARGE POINT OF DISTILLERY,DAMAN,4.6,8.0,158.8,6.88,35.0,1477.8888489855074
3466,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE),PATHANAMTHITTA",KERALA,6.2,7.3,0.8,0.55,303.0,59.60583768115941
1643,"NAGAVALLI AT RAYAGADA D/S, ODISHA",ODISHA,7.5,8.0,1.7,0.9,8780.0,267.4256139130435
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,6.9,7.5,3.2,0.55,252.0,79.79866898550725
1643,"NAGAVALLI AT RAYAGADA D/S, ",ORISSA,7.7,8.1,1.6,0.71,1930.0,110.21728666666668
1702,"U/S JHARMAL NADI, PUNJAB",PUNJAB,4.8,6.6,15.0,3.3,6000.0,308.45242173913044
2296,R THALLASSERY AT PATHIPPALAM,KERALA,6.5,5.8,0.4,0.54,123.0,24.58332347826087
1860,BALEHWAR KHADI AT N.H. NO. 7,GUJARAT,5.7,8.0,7.4,0.5,14600.0,454.8349457971015
1150,"DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT",GUJARAT,8.0,7.66,1.0,0.4137499999999999,39.375,53.10027129710145
3188,RIVER TIRACOL AT TIRACOL,GOA,6.3,7.6,1.7,0.08,3622.0,146.294144057971
1865,RIVER DHADAR AT KOTHADA,GUJARAT,1.1,7.8,7.67,0.63,28.0,147.6709191304348
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,6.8,6.2,1.6,0.18,9.0,38.10150260869567
2625,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,HIMACHAL PRADESH,8.3,7.6,1.2,0.51,12.0,51.739118260869546
2335,R PERIYAR AT KALAMASSERY,KERALA,5.7,6.9,3.1,0.4,574.0,81.52783246376812
1543,"RIVER KALNA AT CHANDELNAN PERNEM, GOA",GOA,7.0,6.9,1.1,0.09,1641.0,81.47884869565219
1568,"R MAHE AT VALAYAM, KERALA",KERALA,7.3,7.2,0.9,0.38,6490.0,190.80705449275365
1438,"MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN, GUJARAT",GUJARAT,8.0,7.82,1.8,0.64,32618.28571428572,783.4877427494825
1342,"ACHENKOIL AT THUMPAMON, KERALA",KERALA,6.7,7.5,1.4,1.0,183.0,63.34340289855073
21,CHALIYAR AT CHUNGAPALLY,KERALA,7.0,7.1,0.6,0.34,240.0,50.20124202898551
2625,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,HIMACHAL PRADESH,6.6,7.5,1.6,0.0,14.0,61.70511652173913
3378,"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS",MEGHALAYA,7.4,7.1,1.7,2.44,19.0,52.12935420289854
1148,"AMBIKA AT BILIMORA, GUJARAT",GUJARAT,7.0,8.16,4.16,0.34,9593.0,312.6279020289855
2168,MITHI RIVER,MAHARASHTRA,3.4,7.4,31.5,3.32,1767.0,383.3914057971015
2704,"SAVITRI AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,6.7,7.8,2.4,1.02,3.0,74.11090956521738
1563,"NEYYAR AMARAVILA, KERALA",KERALA,7.2,6.7,0.9,0.28,335.0,46.28240811594203
2319,R ANCHARAKANDY AT MERUVAMBA,KERALA,6.4,6.4,1.2,0.13,168.0,44.365503768115936
2651,"AMBA RIVER AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,6.6,7.8,4.9,0.2,16.0,96.1540431884058
1152,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA,6.4,7.6,5.7,0.6,23.0,101.02435043478262
1475,ZUARI AT PANCHAWADI,GOA,6.8,7.1,1.65,0.07,22.0,54.37011594202899
1632,"GANOL RIVER TURA, MEGHALAYA",MEGHALAYA,7.1,7.5,2.2,3.2,239.0,69.98736840579711
1342,"ACHENKOIL AT THUMPAMON, KERALA",KERALA,6.6,6.3,0.6,0.3,1033.0,54.834516521739125
1566,"THIRURANGADY, KERALA",KERALA,6.3,6.95,0.65,0.21,253.0,50.61782739130435
1573,"IRUMPANAM, KERALA",KERALA,3.5,6.57,2.13,0.35,220.0,70.07110484057972
2653,"BHATSA AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,6.9,7.3,3.4,0.19,31.0,73.08670898550726
1428,"KHARKHLA NEAR SUTNGA KHLIERIAT,JAINTIA HILLS DT.,MEGHALAYA",MEGHALAYA,6.4,3.05,5.07,4.8,18.0,16.8223704347826
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,6.2,7.1,2.1,0.09,920.0,81.63846434782609
2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,6.8,7.8,3.3,0.56,33.0,81.48442927536233
1865,RIVER DHADAR AT KOTHADA,GUJARAT,5.3625,7.88,15.0,0.42,3.0,192.8088576086957
2326,R KORAYAR AT KANJIKODE,KERALA,4.4,7.3,0.4,0.15,285.0,64.46852956521738
1701,GHAGGAR AT D/S JHARMAL NADI,PUNJAB,4.7,7.3,32.8,16.4,14388.0,672.6858353623188
1860,BALEHWAR KHADI AT N.H. NO. 8,GUJARAT,5.1,8.1,3.7,0.45,3900.0,185.55812086956524
17,"PERIYAR NEAR ALWAYENANELOOR, KERALA",KERALA,8.1,6.3,1.1,0.31,100.0,31.56262550724638
43,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,7.2,6.76,1.69,0.45,127.0,49.34151078260868
1545,"RIVER MADAI AT DABOS NAN  VALPOI, GOA",GOA,7.35,7.1,1.42,0.15,41.0,50.21710034782608
1570,"HOSDURG, KERALA",KERALA,6.33,7.17,0.7,0.33,140.0,57.55976530434783
2304,R MOGRAL AT MOGRAL BR.,KERALA,5.7,7.3,1.5,0.35,46.0,65.29262579710145
1156,"PAMBA AT CHENGANNUR, KERALA",KERALA,7.0,6.6,0.6,0.75,295.0,41.66946869565218
3355,"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",MEGHALAYA,8.0,7.2,1.4,2.47,5.0,48.01315246376812
1564,"R ITHIKKARA AT AYUR, KERALA",KERALA,6.6,7.2,0.8,0.77,332.0,56.62738318840581
2302,NEELASWARAM AT NAMBIARKAL DAM,KERALA,6.3,7.0,1.4,0.22,963.0,74.5443507246377
3188,RIVER TIRACOL AT TIRACOL,GOA,5.9,7.7,2.1,0.08,1200.0,99.317011884058
2271,"RIVER SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,6.1,6.5,2.0,0.43,9.0,50.239304637681165
1342,"ACHENKOIL AT THUMPAMON, KERALA",KERALA,7.1,6.942,0.5,0.34,0.34,40.20682507246378
3376,LUKHA RIVER,MEGHALAYA,7.1,6.5,3.8,4.56,674.0,76.72106173913043
1544,"RIVER VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,7.8,6.4,2.3,0.08,49.0,43.89853971014494
1403,"GUMTI AT U/S SOUTH TRIPURA, TRIPURA",TRIPURA,5.2,7.4,1.4,0.05,203.0,69.13874057971015
1444,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",KARNATAKA,7.0,7.2,9.5,0.9,85.0,126.21000869565218
1642,"NAGAVALLI AT JAYKAYPUR D/S, ORISSA",ORISSA,6.9,8.2,2.8,2.12,1400.0,114.36350231884056
2287,R ITHIKKARA AT ITHIKKARA,KERALA,6.3,7.0,0.7,0.85,230.0,51.726490724637685
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,5.9,7.4,6.4,0.4,37.0,106.38671855072464
1024,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",PUNJAB,4.9,7.4,14.0,4.4,8000.0,371.5147414492754
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,6.9,6.8,1.6,0.2,82.0,49.632982318840575
2426,MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),ODISHA,7.1,7.9,1.4,0.48,1065.0,88.19528173913045
2164,VASHISTI AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,6.9,7.5,2.2,0.42,2.0,65.3300156521739
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,7.1,6.6,1.0,0.12,2367.0,91.10600173913043
18,"PERIYAR AT KALADY, KERALA",KERALA,7.4,7.0,0.9,0.26,386.0,51.435567536231886
1643,"NAGAVALLI AT RAYAGADA D/S, ORISSA",ORISSA,6.3,7.43,2.17,0.76,2825.0,130.1537367246377
2284,R NEYYAR AT ARUVIPURAM,KERALA,7.6,7.2,0.6,0.65,463.0,53.03149362318841
